purview,name,cost,dice_pool,resistance,description,id,tier,action,duration,prerequisites,tags
Fire,Fire’s Eye,1 Legend,Perception + Awareness,—,"The Scion may see through any fire within line of sight or affected by Bolster Fire, replacing his normal vision. He cannot hear through the fire.",bcf27c36-d49e-4709-a79f-69afa4318d70,1,,,[],[]
Illusion,Dreamcraft,2 Legend per subject,Wits + Art,—,Creates hallucinations affecting multiple senses as long as the Scion concentrates.,bd067ccc-0516-40f3-bad5-423e14c0401c,1,,,[],[]
Innovation,Work Smarter,1 Legend,None,—,Doubles efficiency on repetitive manual tasks for one scene.,bd0d1a99-419e-40b1-9f53-3d19d370bb46,1,,,[],[]
Animal,Natural Army,1 Legend per transformation,,—,The Scion transforms into multiple animals of his chosen type (minimum 50). All share a hive mind. Reversion is possible if at least one body remains alive and conscious.,be3160d5-d106-463a-8ec2-c8c2fb04d74b,1,,,[],[]
Psychopomp,Terra Incognita,None,Perception + Awareness,—,"Guides Scion to mythic realms, Touchstones, and realm entrances.",be562b6e-4bc1-4638-b9b9-e661494db5bb,1,,,[],[]
Animal,Animal Form,1 Willpower + 1 Legend,Stamina + Animal Ken,—,The Scion transforms into a mundane specimen of his chosen animal. Physical Attributes become the animal’s; Mental Attributes remain his own. Immune to Animal Command and Ride Animal.,bf17f40e-08e1-4c37-aac2-3143bb68e402,1,,,[],[]
War,Colossus Armor,10 Legend + 1 Willpower,None,—,"Summons giant armor granting massive Strength, soak and size.",bf8fb533-24d3-4125-9422-473366787c38,1,,,[],[]
War,Mortal Stroke,1 Legend + 1 Willpower,None,—,Weapon inflicts aggravated damage on next hit.,bf9a5bb5-4613-4c42-9601-2eb8eeec8f1a,1,,,[],[]
Guardian,Unseen Shield,2 Legend + 1 Willpower,Stamina + Fortitude,—,The Scion projects a powerful invisible barrier for one scene.,c03c31fc-23a1-4c85-8ed2-0b59a5675961,1,,,[],[]
Animal,Wilderness Eyes,5 Legend,Perception + Animal Ken,—,"For the rest of the scene, the Scion may perceive through the senses of all specimens of her totem animal within an area of one mile per success. She may focus on one animal at a time unless she possesses Parallel Attention. Animals may be compelled to search for a specific target.",c0ee94f1-27b5-4c9d-b26a-d3a77f220831,1,,,[],[]
Death,Death of the Soul,1 Willpower + 20 Legend,Strength + Occult,—,"Temporarily severs a divine being from all divine power, rendering them mortal.",c23cc47b-7158-4260-a49b-0d7dd04c1faf,1,,,[],[]
Time,Stasis,15 Legend + 1 Willpower,Stamina + Occult,—,God enters temporal stasis until declared conditions occur.,c3ad4021-d25c-4181-b7b7-bc24187910a9,1,,,[],[]
Psychopomp,Rainbow Bridge,1 Legend per 200 miles,Intelligence + Awareness,—,Teleports long distances within the World.,c404fe88-cbe9-4281-a485-5d41dbe6e272,1,,,[],[]
Earth,Landslide,1 Willpower + 3 Legend,Strength + Craft,—,Reshapes massive volumes of earth over a wide area for one scene.,c47cf2d5-9384-4bcd-a8fe-72e5097af04b,1,,,[],[]
Guardian,Entreat Immunity,10 Legend + 1 Willpower,None,—,The Scion binds a specific substance or item to permanently protect a target.,c4b0f8ab-fef7-4e96-8a20-6b325fdfdc89,1,,,[],[]
Dream,More Than Lucid,1 Willpower,None,—,Allows the Scion to enter lucid dreaming at will and defend against dream intrusion.,c4ddf7a4-39b5-408a-93f7-08fd61d816eb,1,,,[],[]
Sound,Sonorous Creation,2 Legend,Manipulation + Larceny,—,Creates sounds or voices directly from the mind with complexity based on successes.,c5a37b87-1a95-4b4b-b7ee-eaeb57f78334,1,,,[],[]
Chaos,Unintended Purpose,1 Willpower + 10 Legend,Wits + Craft,—,Allows an object to function as a different mundane object of similar size. Duration equals successes in days; permanence requires permanent Willpower.,c5b72e2e-ab4c-44aa-ac59-c3deaddf9b00,1,,,[],[]
Fertility,Cleanse,1 Legend,Stamina + Survival,—,Instantly ends blight or infestation affecting plants.,c5f62997-7683-47ca-b814-5ddf3a9d5a62,1,,,[],[]
Chaos,Shuck Fate,(1 Willpower + 5 Legend) per bond,Wits + Occult,—,Transfers newly formed Fatebindings onto another character. Requires contested rolls and additional Legend expenditure. The Scion still suffers the final Fatebinding roll.,c61c91e8-fdd8-4036-89ea-c0b47c69f07c,1,,,[],[]
Sound,Lullaby,3 Legend/target,Charisma + Empathy,—,"Sings targets to sleep, restoring Willpower and healing bashing damage.",c6cb97ff-be60-4f35-a93f-96c7817a0e76,1,,,[],[]
Illusion,Hidden Name,1 Willpower + 4 Legend,Wits + Stealth,—,Prevents supernatural detection or redirects it to another target.,c71f5d6d-c3d8-4bd7-8f9f-eacca31b2ac2,1,,,[],[]
Stars,Cynosure,1 Legend,Perception + Science,—,"Designates a personal Pole Star, always revealing distance and direction to it.",c7bcdcd2-66d3-450d-a34d-f83649c7347b,1,,,[],[]
Innovation,If I Had a Hammer,4 Legend,Intelligence + Politics,—,Produces a needed small item from a pocket if available.,c7d79e19-1b45-4e8d-a526-3d8fc8fed4f8,1,,,[],[]
Chaos,Sabot,1 Willpower,Intelligence + Craft,—,The Scion mentally destroys a complex machine. Success causes immediate breakdown. Repair requires accumulating successes equal to the original roll on an extended (Dexterity + Craft). Cannot affect simple machines or those crafted by higher-Legend characters.,c8d473ca-ccee-4d0f-a130-23c3fbfdfe39,1,,,[],[]
Psychopomp,Otherworldly Portal,5 or 10 Legend,Intelligence + Awareness,—,"Opens portals between World, Overworld, Underworld, and Terra Incognita.",c969a0a3-ddb6-4489-9336-cff3c26430e8,1,,,[],[]
Frost,Flash Freeze,5 Legend,Stamina + Survival,—,"The Scion freezes a creature or object instantly, often shattering it.",c9ed9d8a-2310-4e3f-959e-0b01136628ac,1,,,[],[]
Time,Still Object,Varies,Perception + Legend,Varies,Freezes an object in space-time for minutes equal to Legend; supernatural force can move it.,cb0a69f0-0322-4756-a855-1b4942212a5d,1,,,[],[]
Fire,Devil Body,1 Willpower + 3 Legend,None,—,"The Scion becomes a humanoid pillar of flame for one scene, dealing automatic lethal damage on touch and gaining damage absorption.",cb4fc122-66da-4779-b1ad-16573a68c61f,1,,,[],[]
Earth,Earth Armor,1 Legend,,—,Forms armor from earth with soak and hardness equal to half the Scion’s Legend.,cca7b6ce-fba0-4db7-8fa7-3e47cad1836f,1,,,[],[]
Frost,Frost Immunity,None,None,—,"The Scion is immune to cold, ice, freezing wind and water, and never slips on ice.",ccbb0102-fd30-4516-a5e4-c09af6b02ae7,1,,,[],[]
Water,Water Control,1 Legend,Dexterity + Craft,—,Allows limited manipulation of liquid water touching the Scion.,ce632826-f820-45f3-a57e-02d1e1d9fb77,1,,,[],[]
Sky,Weather Witch,1 Legend,Intelligence + Science,—,"Allows prediction of natural weather days in advance equal to successes, over a large area based on Legend. Negates penalties from lesser weather effects.",ce929833-3eba-44b3-a4cf-960567e04a78,1,,,[],[]
Chaos,Out of the Frying Pan,5 Legend (+2 per extra),None,—,"The Scion and willing targets teleport to a random destination determined by a die roll, ranging from safety to extreme danger.",ce9e485f-52c3-4882-abcf-f5b3ac6320da,1,,,[],[]
Moon,Lunacy,1 Legend per target,Manipulation + Presence,—,Inflicts Virtue Extremities on multiple targets; resisted by equal or higher Legend.,cf1e8dc4-a11f-4176-a311-dfadf496219a,1,,,[],[]
Fire,Quench,2 Legend per use,Manipulation + Survival,—,"The Scion extinguishes all non-magical fires within a radius equal to successes in yards, or suppresses spreading flames created by Fire Boons.",d026aba4-d61a-4617-95b0-79fe09410023,1,,,[],[]
Justice,Psychic Prison,3 Legend,Intelligence + Empathy,—,Imprisons target in a subjective years-long mental incarceration; causes permanent Attribute loss.,d04237a6-52d6-4aaf-ab04-c17f39aa97f7,1,,,[],[]
Guardian,Vigil Brand,1 Legend,Perception + Empathy,—,"The Scion brands a person, object or place and senses when it is in danger.",d1c3fa97-a570-439a-8ef6-9d965dcae438,1,,,[],[]
Guardian,Divine Pass,1 Legend per scene,Manipulation + Presence,Varies,The Scion is recognized as a lawful protector and waved past security unless acting maliciously.,d200790b-908c-43ed-ac04-329eed661430,1,,,[],[]
Water,Drown,1 Legend + 1 Willpower,Dexterity + Science,—,Causes lungs to fill with fluid over time.,d27ccfa9-4aaf-4d38-8df9-194c52bf83a6,1,,,[],[]
Death,Euthanasia,1 Legend,Perception + Empathy,—,The Scion may painlessly end the life of an incapacitated being suffering from lethal or aggravated wounds or terminal illness. It cannot affect unwilling Scions.,d2ca4776-6d05-4d23-a62c-5545f8e41fec,1,,,[],[]
Innovation,Fundamental,1 Legend,None,—,Adds automatic successes equal to Innovation Boons on Craft or Science rolls.,d3707be1-f1bf-433a-a922-2e46bbc9f990,1,,,[],[]
Chaos,Recurring Distraction,1 Legend per penalty,Wits + Empathy,—,Those who hear the Scion are plagued by a recurring inane thought. Resisted by (Willpower + Integrity + Legend). Failure imposes distraction penalties equal to Legend spent for 24 hours.,d427d316-ca99-48d7-bfc5-5e42d3222cad,1,,,[],[]
Animal,Paper Tiger,1 Willpower + 5 Legend (+ units),Intelligence + Art,—,The Scion conjures animals from artistic representations. Creatures emerge from the artwork and last for the scene or until killed.,d4b76834-f196-42e9-98dd-c6f568d9f3b5,1,,,[],[]
Death,Haunted Mists,1 Willpower + 1 Legend,,—,Creates mist that traps ghosts in physical form within an area for the scene.,d55a2a63-b3c5-451e-a1c7-2a3656d3d900,1,,,[],[]
Illusion,Stolen Face,1 Willpower + 1 Legend,Manipulation + Presence,—,Creates a supernaturally convincing disguise or false identity for a scene.,d6290701-ae94-47f1-ae7b-96ccfca18dec,1,,,[],[]
Sky,Avatar of Sky (The Storm),1 Willpower + 30 Legend,None,—,"For one scene, the Scion becomes a vast storm avatar capable of devastating mortals, cities and Titans.",d9905fd9-53c6-4e8c-9d34-0188b8e3af08,1,,,[],[]
Sun,Rejuvenation,1 Legend + 1 Willpower/use,None,—,"While in direct sunlight, heals 1 bashing or lethal level per hour, up to total Sun Boons. Ends if sunlight is lost. Daytime only; artificial light does not count.",d9d7875f-a246-45fc-b4d3-63f846d29c61,1,,,[],[]
Chaos,Friendly Fire,3 Legend,Wits + Marksmanship,—,Redirects a ranged attack to strike an ally of the attacker or the attacker themselves. The target may resist with Willpower + Integrity + Legend.,da2e0b08-f5db-4bcb-b107-626ef1087381,1,,,[],[]
Health,Antidote,1 Legend,Intelligence + Medicine,—,Purges mundane toxins or diseases instantly; magical afflictions require exceeding original Toxicity or successes.,da7684cf-2f3f-4793-a124-63c6676bb896,1,,,[],[]
Earth,Echo Sounding,,Perception + Awareness,—,"Reveals subterranean composition, voids, or specific buried objects within a wide radius.",daba5f88-cf1c-4d67-9ea9-ad8e37c1641f,1,,,[],[]
Sky,Cloud Sculptor,1 Legend,Dexterity + Art,—,Allows sculpting and shaping of existing clouds in the sky.,dad50a23-4032-492f-b251-56b616103c36,1,,,[],[]
Sound,Avatar of Sound (The Dissonance / The Harmony),30 Legend + 1 Willpower,None,—,"For one scene, the Scion becomes an avatar of destructive dissonance or perfect harmony.",db8d29d6-b9b0-4161-be58-3219864a55fd,1,,,[],[]
Emotion,Read Between the Minds,1 Willpower,Perception + Empathy,—,Allows discovery of deeply buried or subconscious emotions and secrets.,dbcf79f3-7342-4d67-8d12-bfbc780afe49,1,,,[],[]
Time,Sense Age,None,Perception + Awareness,—,Touch reveals object age; extra successes reveal additional historical ages.,dbf776e4-8c43-491c-9521-77da3ec7625c,1,,,[],[]
Sky,Storm Augmentation,1 Legend/attack,Appearance + Presence,—,"Augments attacks with lightning or wind, doubling knockback and potentially stunning targets.",dc7891ce-0fd2-41bb-9257-4165227c6384,1,,,[],[]
Stars,Cosmic Perspective,3 Legend + 1 Willpower,Manipulation + Academics,—,Blesses or curses targets with cosmic detachment or insignificance.,dde675b8-5cde-4604-aca0-5eb4410cfa27,1,,,[],[]
Earth,Imprisoning Crystal,5+ Legend,Strength + Craft,—,"Encases a target in crystal stasis, immune to harm until released.",def3363e-f0a0-4921-b636-ad12323667b1,1,,,[],[]
War,Fury of War,3 Legend + 1 Willpower,Stamina + Fortitude,—,Grants bonus dice for attacks and intimidation; restricts non-violent actions.,df6b593b-59d6-4b80-a7b8-94ff8bfab379,1,,,[],[]
Fertility,Endless Season,15 Legend,Intelligence + Survival,—,Locks an area into a single season for years or longer.,dfa0e75f-b1d7-4bc5-9d26-f1639031ba6b,1,,,[],[]
Darkness,Night Terror,5 Legend + 1 Willpower,Charisma + Presence,—,Opponents must overcome the activation roll to attack or use supernatural powers against the Scion for the rest of the scene.,dfcaa990-9040-4c48-bcda-962734cb7890,1,,,[],[]
Sun,Divine Brilliance,3 Legend + 1 Willpower,Appearance + Presence,—,Creates daylight aura cancelling Darkness effects and penalizing Stars Boons.,e14a4838-2b1d-4ca8-8751-80f2b5d899bf,1,,,[],[]
Sound,Tragedy of Melpomene,5 Legend + 1 Willpower,Charisma + Art,—,Inflicts crushing supernatural depression on targets based on Willpower.,e184ff58-8c0c-4992-b86e-3c71346fba7b,1,,,[],[]
Prophecy,Search For A Sign,1 Legend,Perception + Occult,—,"After 10 minutes of divination, chooses the better of two named courses of action. Successes become reserve bonus dice usable in future scenes while following that path, limited by Legend.",e1cdacb5-166b-4792-ba5c-16f677ebf735,1,,,[],[]
Chaos,Avatar of Chaos (The Void),1 Willpower + 30 Legend,,—,"For one scene, the Scion becomes The Void, an embodiment of annihilating chaos that drives mortals mad, warps reality and unnerves even Titans.",e485f2cf-627e-4f5d-9078-ad6775a432ab,1,,,[],[]
Guardian,I Say Thee Nay!,3 Legend + 1 Willpower,Stamina + Integrity,—,"The Scion becomes immovable in defense of a charge, gaining DV and resistance bonuses.",e71b3b28-0f29-41ec-a265-2e65e8268fd1,1,,,[],[]
Psychopomp,Come Along,1 Legend per person,None,—,Allows others to accompany Psychopomp travel Boons.,e8b58add-c4a0-463c-9e06-bca86613b8cc,1,,,[],[]
Sun,Sun Chariot,1 Legend/200 lbs,Strength + Control,8,Summons flying solar chariot during day; lasts until sundown. Failure causes loss of control.,e92bcc1f-c3ef-4b0e-b75f-168f58e01327,1,,,[],[]
Darkness,Shadow Step,1 Legend,,—,Step instantly from one shadow to another within line of sight without interrupting actions.,e9b30b24-e07b-4ae2-b8fa-47a43aee8b79,1,,,[],[]
Sun,Divine Radiance,1 Legend,None,—,"Emits sunlight for one scene or produces a focused burst causing −2 distraction penalty, igniting objects, or scorching surfaces.",eae11ff6-455a-4f97-9466-0805ce9c70ba,1,,,[],[]
Justice,Dream Wrack,1 Willpower,Intelligence + Empathy,—,"Victim relives their crime nightly, loses all Willpower, cannot regain it for days equal to Scion’s Legend. Contestable by higher Legend.",ebcfb788-c1cb-44bf-8abf-633b60852e8c,1,,,[],[]
Fire,Incinerate,5 Legend,Wits + Craft vs Resistance,—,"Burns a target from within, inflicting unsoakable lethal damage equal to successes.",ec997079-9af1-4797-b100-d0d08b6e66b8,1,,,[],[]
Guardian,Divine Resolve,5 Legend,Intelligence + Empathy,—,The God grants bonus successes to resist supernatural coercion.,ed666649-c32e-4a67-a27f-d3329ea35d6d,1,,,[],[]
Innovation,Consequence,1 Legend,None,—,Reveals the immediate outcome of a contemplated action.,edaec105-f46d-4f22-a62e-ed3caf801b6c,1,,,[],[]
Darkness,Blackout,2 Legend,Charisma + Presence,—,"Extinguishes all mundane light sources in an area of 20 meters per success, excluding supernatural light.",edd75702-9b32-4571-90c3-b97c352198fc,1,,,[],[]
Time,Twist Time,Varies,Willpower + Legend,—,"Speeds or slows time around targets, altering Speed, DV, movement and timing.",edeb1f82-ef4b-49c0-a532-c36320367a57,1,,,[],[]
Sound,Call of the Pack,2 Legend,Charisma + Presence,—,A cry audible for miles that alerts all beings with Legend to the Scion’s location.,ee3a188f-96e2-4bf2-bee0-2a0aa962f296,1,,,[],[]
Sky,Electrical Immunity,1 Legend (+1 Legend for aggravated),Stamina + Survival,—,"Grants lethal and bashing soak against electrical damage equal to threshold successes for one scene. By spending an additional Legend, half the successes apply as aggravated soak.",f0a19300-5395-4960-942e-88708b3579af,1,,,[],[]
Prophecy,Avatar of Prophecy (The Wyrd),—,None,—,Transforms the Scion into the living embodiment of Fate itself.,f10ae53d-f8c6-4a99-a9b8-1f6c2d8d864e,1,,,[],[]
War,Warrior Ideal,1 Legend,Charisma + Presence,—,Imposes penalties on enemies attacking the Scion.,f123e99a-100f-4e93-b33c-0a6385896e50,1,,,[],[]
Guardian,Warden of the Walls,10 Legend + 2 Willpower,None,—,The Scion becomes the divine protector of an entire city.,f159a994-9fe1-4d9d-af42-6991f7333605,1,,,[],[]
Frost,Frozen Panoply,1 Legend per creation,Varies,—,"The Scion conjures weapons, armor or structures of ice that last a scene.",f21c7417-afd1-4d49-99ea-d1c5795398f1,1,,,[],[]
Justice,Overworld Judgment,15 Legend,Manipulation + Presence + Legend,—,Imposes a divine law compelling obedience from lower or equal Legend beings.,f265c563-13af-444c-8e3b-d8194744a6f6,1,,,[],[]
Frost,Avatar of Frost (The Cold),1 Willpower + 30 Legend,None,—,"For one scene, the Scion becomes the Cold, freezing everything it touches.",f29b2c0f-a698-4da6-9a0c-8f4120e91287,1,,,[],[]
Psychopomp,Unerring Orientation,1 Legend,None,—,Always knows direction and distance to known locations or home.,f3eecffb-ba9e-44ce-b655-091a93d0f9ac,1,,,[],[]
Innovation,Creation,1 Willpower + 10 Legend,Wits + Craft,—,"Creates items or even souls from raw materials, scaling with successes.",f59b68bf-83e8-4375-9808-76658da79353,1,,,[],[]
Health,Control Aging,Varies,Stamina + Medicine,—,Accelerates or decelerates aging of mortals based on Legend spent and successes rolled.,f5b843f0-96c0-4445-a3ca-4c52df58ae4a,1,,,[],[]
Illusion,Dreamworld,1 Willpower + 5 Legend,Varies,—,Traps targets in a complete dream reality resolved via social contests.,f70f3916-2573-4a2c-9f23-e9535b1dd3d6,1,,,[],[]
Time,Still Person,1 Legend,Perception + Marksmanship,—,Increases action speed and reduces Dexterity of a visible target for scene.,f71b1a04-9612-40e1-9048-6a68dfe7ab6b,1,,,[],[]
Health,Cradlesong,1 Legend or 1 Legend + 1 Willpower,Manipulation + Medicine,—,Puts targets to sleep for hours equal to Legend. Higher-Legend targets resist.,f735755d-2b83-4047-9fff-d85b9b2274fb,1,,,[],[]
Death,Delay Rot,1 Legend,Intelligence + Medicine,—,"By touch, the Scion halts decay in a corpse or rot-susceptible object for days equal to threshold successes. The effect may be reapplied and does not cause delayed putrefaction.",f75f4d45-58c1-4e27-a260-606536637e93,1,,,[],[]
Guardian,Aegis,1 Legend + 1 Willpower,Stamina + Fortitude,—,The Scion grants temporary Hardness to a person or object for 24 hours.,f8351333-ec3d-4f20-aba6-481b1bf3b013,1,,,[],[]
Fire,Purifying Flame,3+ Legend + 1+ Willpower,Charisma + Occult,—,"The Scion burns away magical curses from willing targets, removing effects at the cost of aggravated damage.",f84a7480-1982-4402-9785-35644c95cb94,1,,,[],[]
Moon,Phase Cloak,1 Legend,Dexterity + Stealth,Varies,Renders parts of body invisible based on moon phase; grants Stealth bonuses.,fa80e58d-d8db-4493-99a4-0841c29ec4a4,1,,,[],[]
Stars,Aetheric Awareness,1 Legend,Perception + Science,—,Senses breaches between worlds and details of past crossings.,fa8805d6-bdf8-4ca1-a6b9-a5d37dde58be,1,,,[],[]
Animal,Call of the Wild,2 Legend per use,Charisma + Animal Ken,—,"The Scion calls all animals of her chosen type within a radius in miles equal to successes rolled. Animals travel toward her until dismissed or they arrive, remaining nearby unless threatened.",fb7d2953-cb38-4830-9fff-2feb60af2c22,1,,,[],[]
Stars,Parallax,2 Legend,Wits + Science,—,Allows perfect distance judgment and distorts perceived distance for others.,fc2c88a8-1e7c-46ec-a63c-1023a2cbd07b,1,,,[],[]
Sound,Silence,3 Legend (+1 Willpower),None,—,Creates a zone where all sound-based effects are nullified except for the user.,fc829972-3aef-4f7b-9a22-e2bb72107117,1,,,[],[]
Sun,Heavenly Flare,1 Legend,Appearance + Presence,—,Blinds or distracts targets in line of sight; resisted by Stamina + Fortitude. Extras auto-fail.,fd3fd357-45aa-4ad1-9dc3-b3fd964ddc3e,1,,,[],[]
Sky,Wind Grapple,1 Legend/action,Wits + Brawl,—,Allows the Scion to grapple opponents with gusts of wind as if performing a clinch.,fd8d98d7-a0be-465c-88d2-93be6655f9ee,1,,,[],[]
Frost,Frozen Soul,4 Legend,Charisma + Integrity,—,"Hardens the Scion’s soul, adding difficulty to supernatural effects targeting her mind.",fe0562f4-6592-4d63-b474-0fc64189780a,1,,,[],[]
Health,Martyrdom,3 Legend + 1 Willpower,Stamina + Fortitude,—,Heals a target by transferring damage to the Scion; damage is unsoakable.,fe9d13dd-1bbb-4065-9cdd-73cb7e98e426,1,,,[],[]
Justice,Eternal Repentance,10 Legend + 1 Willpower,None,—,"Condemns a criminal to punishment even after death, enforceable in the Underworld.",feaf4370-e2ff-4cc5-9ef6-a27372541bd2,1,,,[],[]
Frost,Frozen Heart,4 Legend,Manipulation + Empathy,—,"The Scion suppresses a target’s emotions, Virtues and Willpower temporarily.",feef06cb-6f24-421e-bd73-4030367763ab,1,,,[],[]
Chaos,Persistent Echo,1 Legend per scene,Manipulation + Occult,—,"The Scion is surrounded by indecipherable white noise that prevents all spoken communication. The effect lasts for the scene, follows the Scion, and may be resisted by an opposed (Perception + Awareness) roll.",ffd93e4b-cd22-42eb-a56f-9ca301b61205,1,,,[],[]
